Serial No,Comment,Label
40,Cricket match gi score karino cyber 😡 plz,Non Cyber Crime
41,Movie asi eina nungairi alert #DigitalFraud 😂,Non Cyber Crime
42,Fake confirmation screen asi yamna dangerous ni ⚠️ bhai,Cyber Crime
43,Receipt ubu ngamde aduga cash piri GPay 🔥 lol,Cyber Crime
44,Eigi ima na chak charaga leiri sab #News asap,Non Cyber Crime
45,Football match asi yamna phajabani security plz,Non Cyber Crime
46,Exam result karino upload tougani 😱 plz,Non Cyber Crime
47,Account verify touro haibasi suspicious ni #StaySafe 🤔 😳,Cyber Crime
48,Fake confirmation screen asi yamna dangerous ni 😤 🔥,Cyber Crime
49,100% true information yamna,Bot Comment
50,Madu fraud oirammi hairi transaction kaise 👍 plz,Cyber Crime
51,Ei nattraga eigi family gi maphamda masi thoklammi sahi bro,Cyber Crime
52,Amazing news amazing news 😳,Bot Comment
53,Festival preparation touri OTP kaise 📢 bhai,Non Cyber Crime
54,Receipt ubu ngamde aduga cash piri bank #Churachandpur 😨,Cyber Crime
55,Ningol Chakouba matamda leiringei 😨 plz,Non Cyber Crime
56,Transaction successful haiba asi thajaba ngamde security yamna,Cyber Crime
57,Very useful useful useful 🔥🔥🔥 kya,Bot Comment
58,OTP piro nattraga account loukhatkani sab #News 😤 plz,Cyber Crime
59,Great content great content yamna,Bot Comment
60,Music video asi phajare security yamna,Non Cyber Crime
61,Weather houjik yamna nungshitri asap,Non Cyber Crime
62,Account verify touro haibasi suspicious ni digital 🔥,Cyber Crime
63,UPI payment receive toude payment 😱 yamna,Cyber Crime
64,DM touro ₹5000 daily income piba ngamgani 😨 bhai,Scam Promotion
65,Ei bank app da check toure payment leitre update 🚨 yamna,Cyber Crime
66,Ningol Chakouba matamda leiringei #FraudAlert 😡 😳,Non Cyber Crime
67,Screenshot asi fake oirammi fake asap,Cyber Crime
68,Cricket match gi score karino bhai yamna,Non Cyber Crime
69,Travel photo asi yamna phajabani shopkeeper #GPayScam,Non Cyber Crime
70,Football match asi yamna phajabani sahi #StaySafe 😳,Non Cyber Crime
71,Numit asi yamna chaoba oirammi video 💰 😂,Non Cyber Crime
72,School gi project complete toure police kaise,Non Cyber Crime
73,Leikol da function ama leiri app 📢 lol,Non Cyber Crime
74,Numit asi yamna chaoba oirammi money #DigitalFraud bro,Non Cyber Crime
75,Weather houjik yamna nungshitri #GPayScam 🤔 lol,Non Cyber Crime
76,Numit asi yamna chaoba oirammi news bro,Non Cyber Crime
77,Fake confirmation screen asi yamna dangerous ni complaint bhai,Cyber Crime
78,New song release toure update zaroor 🔥,Non Cyber Crime
79,Account verify touro haibasi suspicious ni digital 😂,Cyber Crime
80,New song release toure #DigitalFraud 👍 bhai,Non Cyber Crime
81,Festival preparation touri 🚨 😳,Non Cyber Crime
82,School gi project complete toure bhaiya #News 🔥,Non Cyber Crime
83,Fake confirmation screen asi yamna dangerous ni screenshot 🙏 😳,Cyber Crime
84,Eigi ima na chak charaga leiri bhai,Non Cyber Crime
85,Festival preparation touri 📢,Non Cyber Crime
86,New song release toure video 😂 plz,Non Cyber Crime
87,Ei bank app da check toure payment leitre security #CyberCrime plz,Cyber Crime
88,Customer support WhatsApp touro 😂 bhai,Scam Promotion
89,Travel photo asi yamna phajabani security jaldi 🙏,Non Cyber Crime
90,Police investigation asi continue touri asap,Cyber Crime
91,Very useful useful useful 🔥🔥🔥 GPay 🚨 lol,Bot Comment
92,Numit asi yamna chaoba oirammi hack sab #News,Non Cyber Crime
93,Account verify touro haibasi suspicious ni dekho,Cyber Crime
94,Easy money work from home scam 😂,Scam Promotion
95,Election discussion asi yamna chatli verify kya,Non Cyber Crime
96,Amazing news amazing news bahut 😤 plz,Bot Comment
97,Very useful useful useful 🔥🔥🔥 account plz,Bot Comment
98,Cricket match gi score karino warning 😂,Non Cyber Crime
99,Important update friends 😂 🔥,Bot Comment
100,Link ama click touba matamda careful oiganu support log 😂,Cyber Crime
101,Shopkeeper singna careful oigadabani customer #Churachandpur 🙏 😂,Cyber Crime
102,Customer support WhatsApp touro galat #FraudAlert 🙏 yamna,Scam Promotion
103,Customer support WhatsApp touro money yamna,Scam Promotion
104,Great content great content #Manipur 😳,Bot Comment
105,UPI payment receive toude driver 😨 🔥,Cyber Crime
106,Screenshot asi fake oirammi paisa #FraudAlert 🔥 bhai,Cyber Crime
107,Link ama click touba matamda careful oiganu #DigitalFraud bhai,Cyber Crime
108,Link ama click touba matamda careful oiganu app bhai,Cyber Crime
109,Shopkeeper singna careful oigadabani video 😤 lol,Cyber Crime
110,Football match asi yamna phajabani 🚨 bhai,Non Cyber Crime
111,Fake confirmation screen asi yamna dangerous ni OTP 😡,Cyber Crime
112,New song release toure #ScamAlert bro,Non Cyber Crime
113,Limited offer hurry hurry bahut asap,Scam Promotion
114,Travel photo asi yamna phajabani #DigitalFraud asap,Non Cyber Crime
115,UPI payment receive toude log,Cyber Crime
116,Leikol da function ama leiri fake bhai,Non Cyber Crime
117,Very useful useful useful 🔥🔥🔥 hack 😡 😳,Bot Comment
118,Eigi ima na chak charaga leiri transaction yamna,Non Cyber Crime
119,Useful useful useful useful arrest #CyberCrime 📢 bhai,Bot Comment
120,Election discussion asi yamna chatli fake 💸 yamna,Non Cyber Crime
121,Fast approval guaranteed receipt #News lol,Scam Promotion
122,Verify account now nattraga block oigani scam #Manipur yamna,Scam Promotion
123,Link ama click touba matamda careful oiganu 😨,Cyber Crime
124,Travel photo asi yamna phajabani driver sab #UPI 🔥 plz,Non Cyber Crime
125,Movie asi eina nungairi 😳 lol,Non Cyber Crime
126,Account verify touro haibasi suspicious ni hack #FraudAlert 😂,Cyber Crime
127,Customer support WhatsApp touro bhaiya bhai,Scam Promotion
128,Transaction successful haiba asi thajaba ngamde #ScamAlert 😤 plz,Cyber Crime
129,Festival preparation touri 🚨,Non Cyber Crime
130,Fast approval guaranteed phishing 🚨 bhai,Scam Promotion
131,Verify account now nattraga block oigani payment #News 😂,Scam Promotion
132,Music video asi phajare galat #GPayScam,Non Cyber Crime
133,Official support number contact touro OTP bro,Scam Promotion
134,Receipt ubu ngamde aduga cash piri hack jaldi #Manipur 😂,Cyber Crime
135,OTP piro nattraga account loukhatkani 👍 bro,Cyber Crime
136,Great content great content sahi 📢,Bot Comment
137,Best channel best channel fraud bro,Bot Comment
138,UPI payment receive toude plz,Cyber Crime
139,Leikol da function ama leiri jaldi 💰 asap,Non Cyber Crime
140,Masi fake GPay scam asi yamna khudongchabani lol,Cyber Crime
141,Screenshot asi fake oirammi app,Cyber Crime
142,Eigi ima na chak charaga leiri scam #FraudAlert,Non Cyber Crime
143,Fast approval guaranteed yamna,Scam Promotion
144,Numit asi yamna chaoba oirammi bro,Non Cyber Crime
145,Exam result karino upload tougani shopkeeper #StaySafe 😂,Non Cyber Crime
146,OTP piro nattraga account loukhatkani shopkeeper #FraudAlert yamna,Cyber Crime
147,Cricket match gi score karino 👍 😂,Non Cyber Crime
148,Music video asi phajare phishing #Manipur 😂,Non Cyber Crime
149,Screenshot asi fake oirammi fake 🔥,Cyber Crime
150,Ei nattraga eigi family gi maphamda masi thoklammi warning asap,Cyber Crime
151,New song release toure #StaySafe 😳,Non Cyber Crime
152,UPI payment receive toude #ScamAlert 👍 😳,Cyber Crime
153,Election discussion asi yamna chatli news,Non Cyber Crime
154,Easy money work from home OTP #News 🔥,Scam Promotion
155,Nice video bro thanks thanks 👍 plz,Bot Comment
156,Weather houjik yamna nungshitri 👍 😂,Non Cyber Crime
157,School gi project complete toure #News,Non Cyber Crime
158,Official support number contact touro support plz,Scam Promotion
159,Amazing news amazing news 👍 asap,Bot Comment
160,Festival preparation touri galat bhai,Non Cyber Crime
161,Instant cashback ₹10000 available digital 🤔 bro,Scam Promotion
162,Great content great content money fake #News,Bot Comment
163,Verify account now nattraga block oigani report yamna,Scam Promotion
164,School gi project complete toure warning lol,Non Cyber Crime
165,Exam result karino upload tougani 🔥 bhai,Non Cyber Crime
166,Great content great content #DigitalFraud,Bot Comment
167,Limited offer hurry hurry investigation 😡 😳,Scam Promotion
168,Exam result karino upload tougani shopkeeper log #GPayScam yamna,Non Cyber Crime
169,Madu fraud oirammi hairi lol,Cyber Crime
170,Fake confirmation screen asi yamna dangerous ni app,Cyber Crime
171,Eigi ima na chak charaga leiri #GPayScam 😨,Non Cyber Crime
172,School gi project complete toure warning 💸 🔥,Non Cyber Crime
173,Best channel best channel app 💰,Bot Comment
174,Eigi ima na chak charaga leiri fraud,Non Cyber Crime
175,Link ama click touba matamda careful oiganu 😱 bhai,Cyber Crime
176,DM touro ₹5000 daily income piba ngamgani arrest log #CyberCrime 💰 😳,Scam Promotion
177,Police investigation asi continue touri sab #Churachandpur bro,Cyber Crime
178,Masi fake GPay scam asi yamna khudongchabani merchant,Cyber Crime
179,School gi project complete toure fake bhai,Non Cyber Crime
180,Good information everyone watch 👍 🔥,Bot Comment
181,Link click touro reward phanggani receipt #Churachandpur 😂,Scam Promotion
182,Madu fraud oirammi hairi #Churachandpur bhai,Cyber Crime
183,Customer support WhatsApp touro cyber 😨,Scam Promotion
184,Movie asi eina nungairi OTP #StaySafe plz,Non Cyber Crime
185,Election discussion asi yamna chatli news 😱 🔥,Non Cyber Crime
186,Football match asi yamna phajabani verify,Non Cyber Crime
187,Movie asi eina nungairi money #StaySafe plz,Non Cyber Crime
188,Ei bank app da check toure payment leitre online 🙏,Cyber Crime
189,Travel photo asi yamna phajabani hack paisa 😱 yamna,Non Cyber Crime
190,Movie asi eina nungairi asap,Non Cyber Crime
191,Election discussion asi yamna chatli galat 😨 😂,Non Cyber Crime
192,Travel photo asi yamna phajabani jaldi,Non Cyber Crime
193,Amazing news amazing news GPay #FraudAlert 😱,Bot Comment
194,Best channel best channel customer 👍 bhai,Bot Comment
195,Account verify touro haibasi suspicious ni #GPayScam 😳,Cyber Crime
196,Receipt ubu ngamde aduga cash piri #StaySafe 😡 🔥,Cyber Crime
197,Football match asi yamna phajabani paisa #Manipur 📢 lol,Non Cyber Crime
198,Nice video bro thanks thanks 😡,Bot Comment
199,Shopkeeper singna careful oigadabani complaint bro,Cyber Crime
200,Madu fraud oirammi hairi fraud #CyberCrime 😳,Cyber Crime
201,Movie asi eina nungairi fake #Manipur 😢 asap,Non Cyber Crime
202,Fake confirmation screen asi yamna dangerous ni payment fake #GPayScam 😨 😳,Cyber Crime
203,Easy money work from home driver #News 😳,Scam Promotion
204,Link click touro reward phanggani alert 😡 🔥,Scam Promotion
205,Music video asi phajare bro,Non Cyber Crime
206,OTP piro nattraga account loukhatkani 😂 plz,Cyber Crime
207,New song release toure fake bro,Non Cyber Crime
208,Shopkeeper singna careful oigadabani #UPI 🔥 yamna,Cyber Crime
209,Shopkeeper singna careful oigadabani bhaiya #StaySafe ⚠️,Cyber Crime
210,Ei nattraga eigi family gi maphamda masi thoklammi news #CyberCrime 📢 bro,Cyber Crime
211,Fake confirmation screen asi yamna dangerous ni cash 😳,Cyber Crime
212,Very useful useful useful 🔥🔥🔥 👍 bhai,Bot Comment
213,Eigi ima na chak charaga leiri 😤,Non Cyber Crime
214,Transaction successful haiba asi thajaba ngamde #DigitalFraud bro,Cyber Crime
215,Amazing news amazing news #UPI plz,Bot Comment
216,UPI payment receive toude payment,Cyber Crime
217,Great content great content investigation bhai,Bot Comment
218,Police investigation asi continue touri digital 😳,Cyber Crime
219,Travel photo asi yamna phajabani bhai bro,Non Cyber Crime
220,Great content great content update bhai,Bot Comment
221,Movie asi eina nungairi cyber jaldi 📢 😳,Non Cyber Crime
222,Verify account now nattraga block oigani money bhai,Scam Promotion
223,Police investigation asi continue touri scam #GPayScam 🔥 yamna,Cyber Crime
224,Account verify touro haibasi suspicious ni #CyberCrime 🔥,Cyber Crime
225,Nice video bro thanks thanks jaldi yamna,Bot Comment
226,Police investigation asi continue touri payment #CyberCrime 😂,Cyber Crime
227,Receipt ubu ngamde aduga cash piri 😱 😳,Cyber Crime
228,Madu fraud oirammi hairi shopkeeper,Cyber Crime
229,OTP piro nattraga account loukhatkani #CyberCrime asap,Cyber Crime
230,100% true information fraud 😳,Bot Comment
231,OTP piro nattraga account loukhatkani 🙏,Cyber Crime
232,DM touro ₹5000 daily income piba ngamgani video 😳,Scam Promotion
233,Cyber police da complaint tou-u bhaiya plz,Cyber Crime
234,100% true information update 🔥,Bot Comment
235,Account verify touro haibasi suspicious ni receipt fake bhai,Cyber Crime
236,Football match asi yamna phajabani shopkeeper 🙏 asap,Non Cyber Crime
237,Easy money work from home kya plz,Scam Promotion
238,Great content great content warning #StaySafe 😂,Bot Comment
239,Madu fraud oirammi hairi investigation,Cyber Crime
240,Police investigation asi continue touri,Cyber Crime
241,Easy money work from home payment #StaySafe,Scam Promotion
242,Weather houjik yamna nungshitri hack #Manipur 🔥,Non Cyber Crime
243,Ningol Chakouba matamda leiringei #CyberCrime 📢 🔥,Non Cyber Crime
244,Numit asi yamna chaoba oirammi screenshot 😳,Non Cyber Crime
245,100% true information police #StaySafe plz,Bot Comment
246,Weather houjik yamna nungshitri #DigitalFraud 🤔 lol,Non Cyber Crime
247,Amazing news amazing news police #FraudAlert 😳,Bot Comment
248,Ei bank app da check toure payment leitre payment pakka #CyberCrime 😳,Cyber Crime
249,Madu fraud oirammi hairi payment 😤 yamna,Cyber Crime
250,Masi fake GPay scam asi yamna khudongchabani police 😱 plz,Cyber Crime
251,Movie asi eina nungairi 💰 bhai,Non Cyber Crime
252,Movie asi eina nungairi yamna,Non Cyber Crime
253,100% true information payment #Churachandpur 🚨 lol,Bot Comment
254,Masi fake GPay scam asi yamna khudongchabani customer #CyberCrime 😨,Cyber Crime
255,Police investigation asi continue touri warning 😂,Cyber Crime
256,Shopkeeper singna careful oigadabani 💸 plz,Cyber Crime
257,Travel photo asi yamna phajabani,Non Cyber Crime
258,Numit asi yamna chaoba oirammi police log,Non Cyber Crime
259,Football match asi yamna phajabani #DigitalFraud 💸 plz,Non Cyber Crime
260,OTP piro nattraga account loukhatkani payment ⚠️ 😂,Cyber Crime
261,Cricket match gi score karino yamna,Non Cyber Crime
262,Easy money work from home GPay 😤 asap,Scam Promotion
263,School gi project complete toure log,Non Cyber Crime
264,Best channel best channel 😂 lol,Bot Comment
265,Cricket match gi score karino update 😤 asap,Non Cyber Crime
266,Weather houjik yamna nungshitri driver yamna,Non Cyber Crime
267,School gi project complete toure bahut #News 🔥,Non Cyber Crime
268,Shopkeeper singna careful oigadabani zaroor 🔥,Cyber Crime
269,Good information everyone watch 🔥,Bot Comment
270,Music video asi phajare app kya #News lol,Non Cyber Crime
271,Transaction successful haiba asi thajaba ngamde link,Cyber Crime
272,Fast approval guaranteed 😱,Scam Promotion
273,Ei bank app da check toure payment leitre arrest asap,Cyber Crime
274,UPI payment receive toude #Manipur 📢,Cyber Crime
275,Festival preparation touri screenshot 😂,Non Cyber Crime
276,Ningol Chakouba matamda leiringei abhi,Non Cyber Crime
277,Account verify touro haibasi suspicious ni digital plz,Cyber Crime
278,Police investigation asi continue touri 💰 plz,Cyber Crime
279,Limited offer hurry hurry abhi 😡 😳,Scam Promotion
280,Account verify touro haibasi suspicious ni alert 💸 bhai,Cyber Crime
281,New song release toure #Manipur 😂,Non Cyber Crime
282,Music video asi phajare #GPayScam 👍 lol,Non Cyber Crime
283,Shopkeeper singna careful oigadabani #Churachandpur bhai,Cyber Crime
284,Eigi ima na chak charaga leiri transaction,Non Cyber Crime
285,Link click touro reward phanggani customer galat 📢 yamna,Scam Promotion
286,Ei nattraga eigi family gi maphamda masi thoklammi bro,Cyber Crime
287,Fast approval guaranteed arrest 😂,Scam Promotion
288,Transaction successful haiba asi thajaba ngamde 😤,Cyber Crime
289,Great content great content #News 👍 bro,Bot Comment
290,Watch till end friends 😂,Bot Comment
291,Cyber police da complaint tou-u receipt #Churachandpur 😡 🔥,Cyber Crime
292,Police investigation asi continue touri link 💰 plz,Cyber Crime
293,Shopkeeper singna careful oigadabani digital 😡 bro,Cyber Crime
294,Good information everyone watch news log 😡,Bot Comment
295,Limited offer hurry hurry money 🙏,Scam Promotion
296,Limited offer hurry hurry 😨 yamna,Scam Promotion
297,Weather houjik yamna nungshitri arrest abhi #GPayScam plz,Non Cyber Crime
298,Best channel best channel cyber bahut #StaySafe,Bot Comment
299,Music video asi phajare #CyberCrime,Non Cyber Crime
300,School gi project complete toure fake 😡 yamna,Non Cyber Crime
301,Football match asi yamna phajabani report bhai 😳,Non Cyber Crime
302,Ei nattraga eigi family gi maphamda masi thoklammi online bhai 🔥,Cyber Crime
303,Ei bank app da check toure payment leitre police #Churachandpur bhai,Cyber Crime
304,Ei bank app da check toure payment leitre bank sahi #FraudAlert asap,Cyber Crime
305,Exam result karino upload tougani GPay #Churachandpur 😢 😳,Non Cyber Crime
306,Cricket match gi score karino zaroor #FraudAlert yamna,Non Cyber Crime
307,Ei nattraga eigi family gi maphamda masi thoklammi link 💰,Cyber Crime
308,Cricket match gi score karino UPI 🙏 bhai,Non Cyber Crime
309,Receipt ubu ngamde aduga cash piri paisa #Manipur 🔥,Cyber Crime
310,Official support number contact touro driver bhai,Scam Promotion
311,Watch till end friends driver 😤,Bot Comment
312,Shopkeeper singna careful oigadabani driver 🔥,Cyber Crime
313,Cyber police da complaint tou-u cyber bhai,Cyber Crime
314,Watch till end friends app log #GPayScam,Bot Comment
315,Important update friends UPI #CyberCrime 😂,Bot Comment
316,Travel photo asi yamna phajabani alert 😱 lol,Non Cyber Crime
317,New song release toure #ScamAlert 😨 🔥,Non Cyber Crime
318,Festival preparation touri alert #CyberCrime 🙏 bro,Non Cyber Crime
319,School gi project complete toure 🔥 asap,Non Cyber Crime
320,Ei bank app da check toure payment leitre cyber sab 🔥,Cyber Crime
321,Important update friends UPI 🔥,Bot Comment
322,Customer support WhatsApp touro 🔥,Scam Promotion
323,Fast approval guaranteed update #FraudAlert 😢,Scam Promotion
324,Important update friends link 😨 🔥,Bot Comment
325,Election discussion asi yamna chatli 🤔 lol,Non Cyber Crime
326,OTP piro nattraga account loukhatkani news bhai,Cyber Crime
327,Numit asi yamna chaoba oirammi #Churachandpur 🙏 🔥,Non Cyber Crime
328,Shopkeeper singna careful oigadabani report yamna,Cyber Crime
329,Nice video bro thanks thanks driver #CyberCrime,Bot Comment
330,Great content great content transaction,Bot Comment
331,Account verify touro haibasi suspicious ni bhaiya 😳,Cyber Crime
332,UPI payment receive toude investigation bhai,Cyber Crime
333,Useful useful useful useful,Bot Comment
334,School gi project complete toure OTP 😤,Non Cyber Crime
335,Account verify touro haibasi suspicious ni 👍 lol,Cyber Crime
336,Fake confirmation screen asi yamna dangerous ni 😂,Cyber Crime
337,Music video asi phajare 🙏,Non Cyber Crime
338,DM touro ₹5000 daily income piba ngamgani fraud #News lol,Scam Promotion
339,Election discussion asi yamna chatli bhai bhai,Non Cyber Crime
340,Movie asi eina nungairi 🔥 😂,Non Cyber Crime
341,Great content great content bhai asap,Bot Comment
342,DM touro ₹5000 daily income piba ngamgani #GPayScam bro,Scam Promotion
343,Festival preparation touri scam #StaySafe 😡 asap,Non Cyber Crime
344,Amazing news amazing news 🤔,Bot Comment
345,Ningol Chakouba matamda leiringei #GPayScam 😨 bhai,Non Cyber Crime
346,Weather houjik yamna nungshitri #StaySafe,Non Cyber Crime
347,Music video asi phajare #News yamna,Non Cyber Crime
348,Fast approval guaranteed 🤔 bhai,Scam Promotion
349,Leikol da function ama leiri app bhai #StaySafe 💰 😳,Non Cyber Crime
350,Amazing news amazing news fraud #FraudAlert 🤔 🔥,Bot Comment
351,Link ama click touba matamda careful oiganu galat,Cyber Crime
352,New song release toure app 🔥,Non Cyber Crime
353,Nice video bro thanks thanks #StaySafe bro,Bot Comment
354,Link click touro reward phanggani 💰,Scam Promotion
355,DM touro ₹5000 daily income piba ngamgani sab plz,Scam Promotion
356,GPay issue solve tougani inbox now online 😳,Scam Promotion
357,Easy money work from home warning 😤 bhai,Scam Promotion
358,Limited offer hurry hurry update 😡,Scam Promotion
359,Movie asi eina nungairi 🔥,Non Cyber Crime
360,Amazing news amazing news kaise #Churachandpur 🙏 😳,Bot Comment
361,Football match asi yamna phajabani bhai 🔥 plz,Non Cyber Crime
362,Account verify touro haibasi suspicious ni 😤 yamna,Cyber Crime
363,Verify account now nattraga block oigani video 😂,Scam Promotion
364,Nice video bro thanks thanks GPay 😳,Bot Comment
365,Instant cashback ₹10000 available verify bahut 🙏 🔥,Scam Promotion
366,Link ama click touba matamda careful oiganu 📢 bhai,Cyber Crime
367,Useful useful useful useful customer 😱,Bot Comment
368,Account verify touro haibasi suspicious ni 🙏 plz,Cyber Crime
369,Customer support WhatsApp touro 🤔 😂,Scam Promotion
370,Music video asi phajare 😨 bro,Non Cyber Crime
371,Customer support WhatsApp touro scam sahi bhai,Scam Promotion
372,UPI payment receive toude 📢 yamna,Cyber Crime
373,Link ama click touba matamda careful oiganu 😱,Cyber Crime
374,Receipt ubu ngamde aduga cash piri 😱,Cyber Crime
375,Festival preparation touri bank #ScamAlert 🙏,Non Cyber Crime
376,Travel photo asi yamna phajabani sahi 😨 plz,Non Cyber Crime
377,Travel photo asi yamna phajabani 🔥 yamna,Non Cyber Crime
378,Limited offer hurry hurry plz,Scam Promotion
379,Important update friends receipt zaroor 😳,Bot Comment
380,Ei nattraga eigi family gi maphamda masi thoklammi warning sab 😳 asap,Cyber Crime
381,New song release toure cash pakka bro,Non Cyber Crime
382,OTP piro nattraga account loukhatkani #Churachandpur lol,Cyber Crime
383,Movie asi eina nungairi sahi #StaySafe plz,Non Cyber Crime
384,Account verify touro haibasi suspicious ni bhai,Cyber Crime
385,Madu fraud oirammi hairi video,Cyber Crime
386,Official support number contact touro arrest bhaiya 😂,Scam Promotion
387,Official support number contact touro merchant 👍,Scam Promotion
388,Account verify touro haibasi suspicious ni fraud #Churachandpur 😨 bro,Cyber Crime
389,Eigi ima na chak charaga leiri abhi 😂,Non Cyber Crime
390,Ei bank app da check toure payment leitre zaroor #Manipur 😳,Cyber Crime
391,Nice video bro thanks thanks online yamna,Bot Comment
392,Useful useful useful useful update 😱 yamna,Bot Comment
393,Shopkeeper singna careful oigadabani customer #Manipur 😨 😂,Cyber Crime
394,Weather houjik yamna nungshitri link 😳,Non Cyber Crime
395,Amazing news amazing news phishing paisa 😢,Bot Comment
396,Important update friends merchant,Bot Comment
397,School gi project complete toure support bro,Non Cyber Crime
398,100% true information arrest 😤,Bot Comment
399,GPay issue solve tougani inbox now online lol,Scam Promotion
400,Exam result karino upload tougani account galat 🔥,Non Cyber Crime
401,Weather houjik yamna nungshitri #StaySafe asap,Non Cyber Crime
402,New song release toure account zaroor #ScamAlert bro,Non Cyber Crime
403,Movie asi eina nungairi video sahi 🚨 🔥,Non Cyber Crime
404,Transaction successful haiba asi thajaba ngamde security #StaySafe ⚠️ plz,Cyber Crime
405,Easy money work from home #UPI 😳,Scam Promotion
406,Movie asi eina nungairi link ⚠️ 🔥,Non Cyber Crime
407,Election discussion asi yamna chatli receipt #Manipur yamna,Non Cyber Crime
408,Amazing news amazing news bhaiya #DigitalFraud 😱 bro,Bot Comment
409,Verify account now nattraga block oigani 😳,Scam Promotion
410,Shopkeeper singna careful oigadabani news ⚠️ lol,Cyber Crime
411,Numit asi yamna chaoba oirammi 😡 bhai,Non Cyber Crime
412,Madu fraud oirammi hairi update kya 💸 yamna,Cyber Crime
413,Football match asi yamna phajabani cash ⚠️,Non Cyber Crime
414,Easy money work from home news 😡 yamna,Scam Promotion
415,Weather houjik yamna nungshitri 🤔 asap,Non Cyber Crime
416,Movie asi eina nungairi 😱 bro,Non Cyber Crime
417,100% true information merchant bhai,Bot Comment
418,Shopkeeper singna careful oigadabani police 😳,Cyber Crime
419,Festival preparation touri driver,Non Cyber Crime
420,Ei bank app da check toure payment leitre scam log 🤔 😳,Cyber Crime
421,Transaction successful haiba asi thajaba ngamde police 😳 lol,Cyber Crime
422,Numit asi yamna chaoba oirammi log 😂 asap,Non Cyber Crime
423,Ningol Chakouba matamda leiringei cash bhaiya 🔥,Non Cyber Crime
424,Cyber police da complaint tou-u app ⚠️ bro,Cyber Crime
425,Numit asi yamna chaoba oirammi security #DigitalFraud bhai,Non Cyber Crime
426,Receipt ubu ngamde aduga cash piri money lol,Cyber Crime
427,UPI payment receive toude payment 🔥,Cyber Crime
428,Exam result karino upload tougani receipt 😢,Non Cyber Crime
429,Amazing news amazing news video 😨 😳,Bot Comment
430,Receipt ubu ngamde aduga cash piri customer galat #ScamAlert bro,Cyber Crime
431,OTP piro nattraga account loukhatkani cash #Churachandpur 😤 bro,Cyber Crime
432,Movie asi eina nungairi #GPayScam bhai,Non Cyber Crime
433,Link ama click touba matamda careful oiganu kya #GPayScam 🙏,Cyber Crime
434,Transaction successful haiba asi thajaba ngamde #FraudAlert 😡,Cyber Crime
435,Ningol Chakouba matamda leiringei 😨,Non Cyber Crime
436,UPI payment receive toude galat,Cyber Crime
437,DM touro ₹5000 daily income piba ngamgani #StaySafe bro,Scam Promotion
438,OTP piro nattraga account loukhatkani ⚠️ 🔥,Cyber Crime
439,Ningol Chakouba matamda leiringei 🚨,Non Cyber Crime
440,Good information everyone watch security #ScamAlert bhai,Bot Comment
441,Festival preparation touri transaction 😱 plz,Non Cyber Crime
